Z	CI	  error	 sun		error	recommended	error
1	8.24	  0.04	 12.00		0.0	12.00		0.0
2	1.31	  nan	 10.925		0.02	10.925		0.02
3	3.28	  0.05	 1.10		0.10	3.28		0.05
4	1.32	  0.03	 1.38		0.09	1.32		0.03
5	2.81	  0.04	 2.70		0.17	2.81		0.04
6	7.41	  0.04	 8.39		0.04	8.39		0.04
7	6.28	  0.06	 7.86		0.12	7.86		0.12
8	8.42	  0.04	 8.73		0.07	8.73		0.07
9	4.44	  0.06	 4.56		0.30	4.44		0.06
10	-1.10	  nan	 8.05		0.10	8.05		0.10
11	6.29	  0.02	 6.30		0.03	6.29		0.04
12	7.55	  0.01	 7.54		0.06	7.54		0.06
13	6.45	  0.01	 6.47		0.07	6.46		0.07
14	7.53	  0.01	 7.52		0.06	7.53		0.06
15	5.45	  0.04	 5.46		0.04	5.45		0.05
16	7.17	  0.02	 7.14		0.01	7.16		0.02
17	5.25	  0.06	 5.50		0.30	5.25		0.06
18	-0.48	  nan	 6.50		0.10	6.50		0.10
19	5.10	  0.02	 5.12		0.03	5.11		0.04
20	6.31	  0.02	 6.33		0.07	6.31		0.02
21	3.07	  0.02	 3.10		0.10	3.07		0.02
22	4.93	  0.03	 4.90		0.06	4.93		0.03
23	3.98	  0.02	 4.00		0.02	3.99		0.03
24	5.66	  0.01	 5.64		0.01	5.65		0.02
25	5.50	  0.01	 5.37		0.05	5.50		0.01
26	7.47	  0.01	 7.45		0.08	7.46		0.08
27	4.89	  0.01	 4.92		0.08	4.90		0.08
28	6.22	  0.01	 6.23		0.04	6.22		0.04
29	4.27	  0.04	 4.21		0.04	4.27		0.04
30	4.65	  0.04	 4.62		0.15	4.65		0.04
31	3.10	  0.02	 2.88		0.10	3.10		0.02
32	3.60	  0.04	 3.58		0.05	3.59		0.06
33	2.32	  0.04	 0.00		0.00	2.32		0.04
34	3.36	  0.03	 0.00		0.00	3.36		0.03
35	2.56	  0.06	 0.00		0.00	2.56		0.06
36	-2.25	  nan	 3.28		0.08	3.28		0.08
37	2.38	  0.03	 2.60		0.10	2.38		0.03
38	2.90	  0.03	 2.92		0.05	2.90		0.03
39	2.19	  0.04	 2.21		0.02	2.20		0.04
40	2.55	  0.04	 2.58		0.02	2.57		0.04
41	1.43	  0.04	 1.42		0.06	1.42		0.07
42	1.96	  0.04	 1.92		0.05	1.94		0.06
44	1.78	  0.03	 1.84		0.07	1.78		0.03
45	1.08	  0.04	 1.12		0.12	1.10		0.13
46	1.67	  0.02	 1.66		0.04	1.67		0.04
47	1.22	  0.02	 0.94		0.30	1.22		0.02
48	1.73	  0.03	 1.77		0.11	1.73		0.03
49	0.78	  0.03	 1.50		-1	0.78		0.03
50	2.09	  0.06	 2.00		0.30	2.09		0.06
51	1.03	  0.06	 1.00		0.30	1.03		0.06
52	2.20	  0.03	 0.00		0.00	2.20		0.03
53	1.57	  0.08	 0.00		0.00	1.57		0.08
54	-1.93	  nan	 2.27		0.08	2.27		0.08
55	1.10	  0.02	 0.00		0.00	1.10		0.02
56	2.20	  0.03	 2.17		0.07	2.18		0.07
57	1.19	  0.02	 1.14		0.03	1.19		0.02
58	1.60	  0.02	 1.61		0.06	1.60		0.06
59	0.78	  0.03	 0.76		0.04	0.77		0.05
60	1.47	  0.02	 1.45		0.05	1.47		0.02
62	0.96	  0.02	 1.00		0.05	0.96		0.02
63	0.53	  0.02	 0.52		0.04	0.53		0.04
64	1.07	  0.02	 1.11		0.05	1.09		0.06
65	0.34	  0.03	 0.28		0.10	0.34		0.03
66	1.15	  0.02	 1.13		0.06	1.14		0.06
67	0.49	  0.03	 0.51		0.10	0.49		0.03
68	0.94	  0.02	 0.96	 	0.06	0.95		0.06
69	0.14	  0.03	 0.14		0.04	0.14		0.03
70	0.94	  0.02	 0.86		0.10	0.94		0.02
71	0.11	  0.02	 0.12		0.08	0.11		0.02
72	0.73	  0.02	 0.88		0.08	0.73		0.02
73	-0.14	  0.04	 0.00		0.00	-0.14		0.04
74	0.67	  0.04	 1.11		0.15	0.67		0.04
75	0.28	  0.04	 nan		nan	0.28		0.04
76	1.37	  0.03	 1.45		0.11	1.37		0.03
77	1.34	  0.02	 1.38		0.05	1.36		0.06
78	1.64	  0.03	 1.74		0.30	1.64		0.03
79	0.82	  0.04	 1.01		0.18	0.82		0.04
80	1.19	  0.08	 nan		nan	1.19		0.08
81	0.79	  0.03	 0.95		0.20	0.79		0.03
82	2.06	  0.03	 2.00		0.06	2.06		0.03
83	0.67	  0.04	 0.00		0.00	0.67		0.04
90	0.08	  0.03	 0.08		-1	0.08		0.03
92	-0.52	  0.03	 -0.47		-1	-0.52		0.03		
